comment,vote,author
十几岁的时候渴慕着小王子，一天之间可以看四十四次日落。是在多久之后才明白，看四十四次日落的小王子，他有多么难过。,1582,眠去
读了好多年，终于读完了，但是实在共鸣不起来，虽然知道那些道理，但真的觉得没什么了不起啊，是我还太幼稚吗？,858,小岩井
我早该猜到，在她那可笑的伎俩后面是缱绻柔情啊。花朵是如此的天真无邪，可是，我毕竟太年轻了，不知该如何去爱她。,771,[已注销]
我的玫瑰花儿，只有四个微不足道的刺，用来抵御这个世界。,567,渍
谁能告诉俺，小王子这种书有什么好看的？,363,陈毓秀
他像一颗树那样倒了下去,328,猫伯爵
不能理解的是，為什么它忽然紅成這樣？,131,北溟鱼
虽然我实在幼稚，但我并不怎么喜欢孩童般的纯净，我只爱风浪过后的平静，流水打磨出的清亮，大雪纷飞时的安宁，沧桑看透的纯真，我爱眼冷心热的庄子，人究竟无所逃于天地之间，各适其性，做自己认为有意义的事就好了，无论是统治宇宙还是喝酒点灯，对他们来说，都比爱一朵玫瑰重要，这不是很好的么,126,把酒临风之菱夏
说实话 我看不太懂 但还是跟风给个5星吧 以显示我也是有思想有学识之人,190,黛安Diane
It is the time you have wasted for your rose that makes your rose so important.,115,何小沁
"狐狸告诉小王子的秘密是：用心去看才看得清楚；是分离让小王子更思念他的玫瑰；爱就是责任。 
",131,蛇
第一遍读时，我才4岁。等到真的读懂，才明白为什么这是一部“童话”。,131,7酱™
我老觉得小狐狸跟小王子是在搞GAY,133,杜边生
"爱屋及乌，爱一个人会让周围的一切变得美好，连麦浪的金黄都会让人心醉。 
　　　　 
　　　　爱同样意味着责任。因为“你现在要对你驯服过的一切负责到底”。爱与被爱都有责任，每一段我们曾经付出过的感情，都必须为对方，为爱情负责，不是吗？ 
　　　　 
　　　　爱很多时候又会面临失去。小王子离开的时候，对狐狸说“那么你什么好处也没得到”。狐狸回答：“由于麦子颜色的缘故，我还是得到了好处”。爱同样意味着宽容，意味着放弃，也许我们在面对渐行渐远的爱情，该抱着平和感激的心态，因为我们起码收获了麦浪的金黄！ 
　　　　 
　　　　狐狸同样告诉小王子，“只有用心才能看得清。实质性的东西，用眼睛是看不见的”。只有这样，才能让我看清爱的本质。 
　　　　 
　　　　爱是什么？ 
　　　　 
　　",150,[已注销]
